rows,csv,orc,orc (sorted),compression,compression_strategy,compression_block_size,stripe_size,batch_size
5000,392234,354415,349812,0,0,16384,16777216,256
5000,392234,354415,349812,0,0,16384,16777216,512
5000,392234,354415,349812,0,0,16384,16777216,1024
5000,392234,354415,349812,0,0,16384,16777216,2048
5000,392234,354415,349812,0,0,16384,16777216,4096
5000,392234,354415,349812,0,0,16384,33554432,256
5000,392234,354415,349812,0,0,16384,33554432,512
5000,392234,354415,349812,0,0,16384,33554432,1024
5000,392234,354415,349812,0,0,16384,33554432,2048
5000,392234,354415,349812,0,0,16384,33554432,4096
5000,392234,354415,349812,0,0,16384,67108864,256
5000,392234,354415,349812,0,0,16384,67108864,512
5000,392234,354415,349812,0,0,16384,67108864,1024
5000,392234,354415,349812,0,0,16384,67108864,2048
5000,392234,354415,349812,0,0,16384,67108864,4096
5000,392234,354415,349812,0,0,16384,134217728,256
5000,392234,354415,349812,0,0,16384,134217728,512
5000,392234,354415,349812,0,0,16384,134217728,1024
5000,392234,354415,349812,0,0,16384,134217728,2048
5000,392234,354415,349812,0,0,16384,134217728,4096
5000,392234,354415,349812,0,0,16384,268435456,256
5000,392234,354415,349812,0,0,16384,268435456,512
5000,392234,354415,349812,0,0,16384,268435456,1024
5000,392234,354415,349812,0,0,16384,268435456,2048
5000,392234,354415,349812,0,0,16384,268435456,4096
5000,392234,354415,349812,0,0,32768,16777216,256
5000,392234,354415,349812,0,0,32768,16777216,512
5000,392234,354415,349812,0,0,32768,16777216,1024
5000,392234,354415,349812,0,0,32768,16777216,2048
5000,392234,354415,349812,0,0,32768,16777216,4096
5000,392234,354415,349812,0,0,32768,33554432,256
5000,392234,354415,349812,0,0,32768,33554432,512
5000,392234,354415,349812,0,0,32768,33554432,1024
5000,392234,354415,349812,0,0,32768,33554432,2048
5000,392234,354415,349812,0,0,32768,33554432,4096
5000,392234,354415,349812,0,0,32768,67108864,256
5000,392234,354415,349812,0,0,32768,67108864,512
5000,392234,354415,349812,0,0,32768,67108864,1024
5000,392234,354415,349812,0,0,32768,67108864,2048
5000,392234,354415,349812,0,0,32768,67108864,4096
5000,392234,354415,349812,0,0,32768,134217728,256
5000,392234,354415,349812,0,0,32768,134217728,512
5000,392234,354415,349812,0,0,32768,134217728,1024
5000,392234,354415,349812,0,0,32768,134217728,2048
5000,392234,354415,349812,0,0,32768,134217728,4096
5000,392234,354415,349812,0,0,32768,268435456,256
5000,392234,354415,349812,0,0,32768,268435456,512
5000,392234,354415,349812,0,0,32768,268435456,1024
5000,392234,354415,349812,0,0,32768,268435456,2048
5000,392234,354415,349812,0,0,32768,268435456,4096
5000,392234,354415,349812,0,0,65536,16777216,256
5000,392234,354415,349812,0,0,65536,16777216,512
5000,392234,354415,349812,0,0,65536,16777216,1024
5000,392234,354415,349812,0,0,65536,16777216,2048
5000,392234,354415,349812,0,0,65536,16777216,4096
5000,392234,354415,349812,0,0,65536,33554432,256
5000,392234,354415,349812,0,0,65536,33554432,512
5000,392234,354415,349812,0,0,65536,33554432,1024
5000,392234,354415,349812,0,0,65536,33554432,2048
5000,392234,354415,349812,0,0,65536,33554432,4096
5000,392234,354415,349812,0,0,65536,67108864,256
5000,392234,354415,349812,0,0,65536,67108864,512
5000,392234,354415,349812,0,0,65536,67108864,1024
5000,392234,354415,349812,0,0,65536,67108864,2048
5000,392234,354415,349812,0,0,65536,67108864,4096
5000,392234,354415,349812,0,0,65536,134217728,256
5000,392234,354415,349812,0,0,65536,134217728,512
5000,392234,354415,349812,0,0,65536,134217728,1024
5000,392234,354415,349812,0,0,65536,134217728,2048
5000,392234,354415,349812,0,0,65536,134217728,4096
5000,392234,354415,349812,0,0,65536,268435456,256
5000,392234,354415,349812,0,0,65536,268435456,512
5000,392234,354415,349812,0,0,65536,268435456,1024
5000,392234,354415,349812,0,0,65536,268435456,2048
5000,392234,354415,349812,0,0,65536,268435456,4096
5000,392234,354415,349812,0,0,131072,16777216,256
5000,392234,354415,349812,0,0,131072,16777216,512
5000,392234,354415,349812,0,0,131072,16777216,1024
5000,392234,354415,349812,0,0,131072,16777216,2048
5000,392234,354415,349812,0,0,131072,16777216,4096
5000,392234,354415,349812,0,0,131072,33554432,256
5000,392234,354415,349812,0,0,131072,33554432,512
5000,392234,354415,349812,0,0,131072,33554432,1024
5000,392234,354415,349812,0,0,131072,33554432,2048
5000,392234,354415,349812,0,0,131072,33554432,4096
5000,392234,354415,349812,0,0,131072,67108864,256
5000,392234,354415,349812,0,0,131072,67108864,512
5000,392234,354415,349812,0,0,131072,67108864,1024
5000,392234,354415,349812,0,0,131072,67108864,2048
5000,392234,354415,349812,0,0,131072,67108864,4096
5000,392234,354415,349812,0,0,131072,134217728,256
5000,392234,354415,349812,0,0,131072,134217728,512
5000,392234,354415,349812,0,0,131072,134217728,1024
5000,392234,354415,349812,0,0,131072,134217728,2048
5000,392234,354415,349812,0,0,131072,134217728,4096
5000,392234,354415,349812,0,0,131072,268435456,256
5000,392234,354415,349812,0,0,131072,268435456,512
5000,392234,354415,349812,0,0,131072,268435456,1024
5000,392234,354415,349812,0,0,131072,268435456,2048
5000,392234,354415,349812,0,0,131072,268435456,4096
5000,392234,354415,349812,0,0,262144,16777216,256
5000,392234,354415,349812,0,0,262144,16777216,512
5000,392234,354415,349812,0,0,262144,16777216,1024
5000,392234,354415,349812,0,0,262144,16777216,2048
5000,392234,354415,349812,0,0,262144,16777216,4096
5000,392234,354415,349812,0,0,262144,33554432,256
5000,392234,354415,349812,0,0,262144,33554432,512
5000,392234,354415,349812,0,0,262144,33554432,1024
5000,392234,354415,349812,0,0,262144,33554432,2048
5000,392234,354415,349812,0,0,262144,33554432,4096
5000,392234,354415,349812,0,0,262144,67108864,256
5000,392234,354415,349812,0,0,262144,67108864,512
5000,392234,354415,349812,0,0,262144,67108864,1024
5000,392234,354415,349812,0,0,262144,67108864,2048
5000,392234,354415,349812,0,0,262144,67108864,4096
5000,392234,354415,349812,0,0,262144,134217728,256
5000,392234,354415,349812,0,0,262144,134217728,512
5000,392234,354415,349812,0,0,262144,134217728,1024
5000,392234,354415,349812,0,0,262144,134217728,2048
5000,392234,354415,349812,0,0,262144,134217728,4096
5000,392234,354415,349812,0,0,262144,268435456,256
5000,392234,354415,349812,0,0,262144,268435456,512
5000,392234,354415,349812,0,0,262144,268435456,1024
5000,392234,354415,349812,0,0,262144,268435456,2048
5000,392234,354415,349812,0,0,262144,268435456,4096
5000,392234,353800,349798,0,1,16384,16777216,256
5000,392234,353800,349798,0,1,16384,16777216,512
5000,392234,353800,349798,0,1,16384,16777216,1024
5000,392234,353800,349798,0,1,16384,16777216,2048
5000,392234,353800,349798,0,1,16384,16777216,4096
5000,392234,353800,349798,0,1,16384,33554432,256
5000,392234,353800,349798,0,1,16384,33554432,512
5000,392234,353800,349798,0,1,16384,33554432,1024
5000,392234,353800,349798,0,1,16384,33554432,2048
5000,392234,353800,349798,0,1,16384,33554432,4096
5000,392234,353800,349798,0,1,16384,67108864,256
5000,392234,353800,349798,0,1,16384,67108864,512
5000,392234,353800,349798,0,1,16384,67108864,1024
5000,392234,353800,349798,0,1,16384,67108864,2048
5000,392234,353800,349798,0,1,16384,67108864,4096
5000,392234,353800,349798,0,1,16384,134217728,256
5000,392234,353800,349798,0,1,16384,134217728,512
5000,392234,353800,349798,0,1,16384,134217728,1024
5000,392234,353800,349798,0,1,16384,134217728,2048
